127.0.0.1 - - [10/Oct/2017:07:57:32 -0300] "GET / HTTP/1.1" 200 11458
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:28:17 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:28:17 -0300] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:29:19 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:30:10 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:30:35 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:30:41 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:30:41 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:30:58 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:31:01 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:31:02 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:31:08 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [10/Oct/2017:08:37:46 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:22:25 -0300] "GET /agenda-web/lista-contato.jsp HTTP/1.1" 404 226
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:22:30 -0300] "GET /agenda-web/lista-contato.html HTTP/1.1" 404 226
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:22:39 -0300] "GET /agenda-web/lista-contatos.html HTTP/1.1" 404 226
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:22:43 -0300] "GET /agenda-web/lista-contatos.jsp HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:22:59 -0300] "GET /agenda-web/adiciona-contato.jsp HTTP/1.1" 404 226
0:0:0:0:0:0:0:1 - - [10/Oct/2017:09:23:04 -0300] "GET /agenda-web/adiciona-contato.html HTTP/1.1" 200 510
